iter	RMSE
0	579.8452847
1	511.8296619
2	459.2184126
3	425.1525462
4	397.2897886
5	386.6971333
6	381.3190797
7	367.623794
8	349.6319867
9	340.1235936
10	331.4561938
11	322.9350966
12	316.7019252
13	304.1717479
14	296.7917617
15	290.0923778
16	284.1704207
17	282.3422009
18	277.7504415
19	275.0357304
20	270.6182115
21	269.1368171
22	265.5904932
23	260.1992646
24	258.6502307
25	253.9843127
26	251.8997566
27	250.9454075
28	248.5671032
29	247.6118129
30	244.0135268
31	242.9712024
32	239.3493109
33	237.7735214
34	234.9575445
35	231.3390605
36	229.2712673
37	227.6294366
38	226.2266089
39	223.3489901
40	221.384713
41	219.7824308
42	219.3532434
43	218.0616219
44	216.8792171
45	214.9212474
46	212.9073678
47	211.2702232
48	210.216487
49	209.2003248
50	208.8105042
51	207.9150388
52	207.4362108
53	203.7417915
54	202.8540843
55	201.7715281
56	201.0214277
57	199.4403851
58	198.5185201
59	197.8090709
60	196.5605185
61	195.1020535
62	194.5043212
63	193.3295732
64	192.7463302
65	190.587287
66	190.0898083
67	189.4918971
68	189.0739945
69	187.889124
70	187.4770731
71	187.1388453
72	186.4846832
73	185.8140299
74	184.8568071
75	184.3608002
76	183.7911721
77	182.4973983
78	180.8991204
79	180.4328211
80	180.2287021
81	179.6107779
82	178.9159451
83	177.4184313
84	176.8376203
85	175.843372
86	175.3368278
87	175.068455
88	173.858947
89	173.1222719
90	172.8731441
91	172.5167845
92	172.3152991
93	171.8221899
94	171.3860135
95	170.5120218
96	170.2366822
97	169.7691785
98	169.5428337
99	168.5147908
100	168.3057441
101	167.8263504
102	167.5741067
103	167.0503636
104	166.5616752
105	166.4056317
106	166.1924393
107	165.5683909
108	165.0284138
109	164.6863077
110	164.0916722
111	163.4269695
112	162.51588
113	162.3642182
114	161.9862709
115	161.7227499
116	161.3851149
117	160.9850179
118	160.8260394
119	160.5293117
120	160.0203905
121	159.9214042
122	159.2698836
123	157.9597262
124	157.7654524
125	157.5379354
126	157.4803345
127	157.1777976
128	156.9266582
129	156.0875885
130	155.4117226
131	155.3746821
132	155.2163952
133	154.5171466
134	153.5274213
135	153.0946418
136	152.9672173
137	152.8337688
138	152.5502189
139	152.1531929
140	151.2748434
141	150.4535774
142	150.3246583
143	150.2141908
144	150.1224942
145	149.8588783
146	149.658882
147	149.2607355
148	149.0772117
149	148.9518021
150	148.856265
151	148.583546
152	148.071567
153	147.4948018
154	147.1269728
155	147.0013633
156	146.7181488
157	146.6518165
158	146.3214327
159	146.2605142
160	145.6230569
161	145.14858
162	144.880987
163	144.5484886
164	144.4405896
165	144.3268585
166	143.8908159
167	143.3945651
