iter	Passed	Remaining
0	0	338
1	0	296
2	1	282
3	1	274
4	1	267
5	2	263
6	2	259
7	2	257
8	3	254
9	3	252
10	3	250
11	4	249
12	4	247
13	4	246
14	5	247
15	5	246
16	5	245
17	6	244
18	6	244
19	6	243
20	6	242
21	7	241
22	7	241
23	7	240
24	8	239
25	8	239
26	8	238
27	9	237
28	9	237
29	9	236
30	10	236
31	10	235
32	10	235
33	11	234
34	11	234
35	11	234
36	12	233
37	12	233
38	12	232
39	13	232
40	13	231
41	13	231
42	14	231
43	14	230
44	14	230
45	15	229
46	15	229
47	15	228
48	15	227
49	16	227
50	16	226
51	16	225
52	17	225
53	17	224
54	17	223
55	18	223
56	18	222
57	18	222
58	18	221
59	19	221
60	19	221
61	19	221
62	20	220
63	20	220
64	20	219
65	21	219
66	21	218
67	21	218
68	22	217
69	22	217
70	22	216
71	22	216
72	23	215
73	23	215
74	23	215
75	24	214
76	24	214
77	24	213
78	25	213
79	25	212
80	25	212
81	26	211
82	26	211
83	26	211
84	26	210
85	27	210
86	27	210
87	27	209
88	28	209
89	28	208
90	28	208
91	29	208
92	29	207
93	29	207
94	30	206
95	30	206
96	30	206
97	30	205
98	31	205
99	31	205
100	31	204
101	32	204
102	32	203
103	32	203
104	33	203
105	33	202
106	33	202
107	34	202
108	34	202
109	34	201
110	35	201
111	35	201
112	35	200
113	35	200
114	36	200
115	36	199
116	36	199
117	37	199
118	37	198
119	37	198
120	38	198
121	38	197
122	38	197
123	39	197
124	39	197
125	39	196
126	40	196
127	40	196
128	40	195
129	40	195
130	41	195
131	41	194
132	41	194
133	42	193
134	42	193
135	42	193
136	43	192
137	43	192
138	43	192
139	43	191
140	44	191
141	44	190
142	44	190
143	45	190
144	45	189
145	45	189
146	46	189
147	46	188
148	46	188
149	46	187
150	47	187
151	47	187
152	47	187
153	48	186
154	48	186
155	48	186
156	49	186
157	49	185
158	49	185
159	50	185
160	50	184
161	50	184
162	51	184
163	51	183
164	51	183
165	52	183
166	52	182
167	52	182
168	52	182
169	53	181
170	53	181
171	53	181
172	54	180
173	54	180
174	54	179
175	55	179
176	55	179
177	55	178
178	55	178
179	56	178
180	56	177
181	56	177
182	57	177
183	57	176
184	57	176
185	58	176
186	58	176
187	58	175
188	59	175
189	59	175
190	59	174
191	60	174
192	60	174
193	60	173
194	60	173
195	61	173
196	61	172
197	61	172
198	62	172
199	62	171
200	62	171
201	63	171
202	63	170
203	63	170
204	64	170
205	64	169
206	64	169
207	64	169
208	65	169
209	65	168
210	65	168
211	66	168
212	66	167
213	66	167
214	67	167
215	67	166
216	67	166
217	68	166
218	68	165
219	68	165
220	68	165
221	69	164
222	69	164
223	69	164
224	70	163
225	70	163
226	70	163
227	71	162
228	71	162
229	71	162
230	72	161
231	72	161
232	72	161
233	72	160
234	73	160
235	73	160
236	73	160
237	74	159
238	74	159
239	74	159
240	75	158
241	75	158
242	75	158
243	76	157
244	76	157
245	76	157
246	77	156
247	77	156
248	77	156
249	78	156
250	78	155
251	78	155
252	79	155
253	79	155
254	79	154
255	80	154
256	80	154
257	80	153
258	80	153
259	81	153
260	81	152
261	81	152
262	82	152
263	82	151
264	82	151
265	83	151
266	83	150
267	83	150
268	84	150
269	84	149
270	84	149
271	84	149
272	85	148
273	85	148
274	85	148
275	86	147
276	86	147
277	86	147
278	87	146
279	87	146
280	87	146
281	87	145
282	88	145
283	88	145
284	88	144
285	89	144
286	89	144
287	89	144
288	90	143
289	90	143
290	90	143
291	91	142
292	91	142
293	91	142
294	91	141
295	92	141
296	92	141
297	92	140
298	93	140
299	93	140
300	93	139
301	94	139
302	94	139
303	94	138
304	94	138
305	95	138
306	95	137
307	95	137
308	96	137
309	96	136
310	96	136
311	97	136
312	97	135
313	97	135
314	97	135
315	98	134
316	98	134
317	98	134
318	99	133
319	99	133
320	99	133
321	100	132
322	100	132
323	100	132
324	100	131
325	101	131
326	101	131
327	101	131
328	102	130
329	102	130
330	102	130
331	103	129
332	103	129
333	103	129
334	103	128
335	104	128
336	104	128
337	104	127
338	105	127
339	105	127
340	105	127
341	106	126
342	106	126
343	106	126
344	107	125
345	107	125
346	107	125
347	108	124
348	108	124
349	108	124
350	108	123
351	109	123
352	109	123
353	109	122
354	110	122
355	110	122
356	110	122
357	111	121
358	111	121
359	111	121
360	112	120
361	112	120
362	112	120
363	112	119
364	113	119
365	113	119
366	113	118
367	114	118
368	114	118
369	114	117
370	115	117
371	115	117
372	115	117
373	116	116
374	116	116
375	116	116
376	117	115
377	117	115
378	117	115
379	118	114
380	118	114
381	118	114
382	119	114
383	119	113
384	119	113
385	119	113
386	120	112
387	120	112
388	120	112
389	121	111
390	121	111
391	121	111
392	122	110
393	122	110
394	122	110
395	122	109
396	123	109
397	123	109
398	123	108
399	124	108
400	124	108
401	124	108
402	125	107
403	125	107
404	125	107
405	126	106
406	126	106
407	126	106
408	126	105
409	127	105
410	127	105
411	127	104
412	128	104
413	128	104
414	128	103
415	129	103
416	129	103
417	129	102
418	129	102
419	130	102
420	130	102
421	130	101
422	131	101
423	131	101
424	131	100
425	132	100
426	132	100
427	132	99
428	132	99
429	133	99
430	133	98
431	133	98
432	134	98
433	134	97
434	134	97
435	135	97
436	135	96
437	135	96
438	136	96
439	136	96
440	136	95
441	136	95
442	137	95
443	137	94
444	137	94
445	138	94
446	138	93
447	138	93
448	139	93
449	139	92
450	139	92
451	139	92
452	140	91
453	140	91
454	140	91
455	141	91
456	141	90
457	141	90
458	142	90
459	142	89
460	142	89
461	143	89
462	143	88
463	143	88
464	143	88
465	144	87
466	144	87
467	144	87
468	145	87
469	145	86
470	145	86
471	146	86
472	146	85
473	146	85
474	147	85
475	147	84
476	147	84
477	148	84
478	148	83
479	148	83
480	148	83
481	149	83
482	149	82
483	149	82
484	150	82
485	150	81
486	150	81
487	151	81
488	151	80
489	151	80
490	152	80
491	152	79
492	152	79
493	153	79
494	153	79
495	153	78
496	154	78
497	154	78
498	154	77
499	154	77
500	155	77
501	155	76
502	155	76
503	156	76
504	156	75
505	156	75
506	157	75
507	157	75
508	157	74
509	158	74
510	158	74
511	158	73
512	159	73
513	159	73
514	159	72
515	159	72
516	160	72
517	160	71
518	160	71
519	161	71
520	161	70
521	161	70
522	162	70
523	162	70
524	162	69
525	162	69
526	163	69
527	163	68
528	164	68
529	164	68
530	164	67
531	164	67
532	165	67
533	165	66
534	165	66
535	166	66
536	166	66
537	166	65
538	167	65
539	167	65
540	167	64
541	167	64
542	168	64
543	168	63
544	168	63
545	169	63
546	169	62
547	169	62
548	170	62
549	170	61
550	170	61
551	171	61
552	171	61
553	171	60
554	171	60
555	172	60
556	172	59
557	172	59
558	173	59
559	173	58
560	173	58
561	174	58
562	174	57
563	174	57
564	174	57
565	175	56
566	175	56
567	175	56
568	176	56
569	176	55
570	176	55
571	177	55
572	177	54
573	177	54
574	178	54
575	178	53
576	178	53
577	179	53
578	179	52
579	179	52
580	180	52
581	180	52
582	180	51
583	180	51
584	181	51
585	181	50
586	181	50
587	182	50
588	182	49
589	182	49
590	183	49
591	183	48
592	183	48
593	184	48
594	184	48
595	184	47
596	184	47
597	185	47
598	185	46
599	185	46
600	186	46
601	186	45
602	186	45
603	187	45
604	187	44
605	187	44
606	188	44
607	188	43
608	188	43
609	188	43
610	189	43
611	189	42
612	189	42
613	190	42
614	190	41
615	190	41
616	191	41
617	191	40
618	191	40
619	192	40
620	192	39
621	192	39
622	193	39
623	193	39
624	193	38
625	194	38
626	194	38
627	194	37
628	194	37
629	195	37
630	195	36
631	195	36
632	196	36
633	196	35
634	196	35
635	197	35
636	197	35
637	197	34
638	197	34
639	198	34
640	198	33
641	198	33
642	199	33
643	199	32
644	199	32
645	200	32
646	200	31
647	200	31
648	200	31
649	201	30
650	201	30
651	201	30
652	202	30
653	202	29
654	202	29
655	203	29
656	203	28
657	203	28
658	203	28
659	204	27
660	204	27
661	204	27
662	205	26
663	205	26
664	205	26
665	206	25
666	206	25
667	206	25
668	206	25
669	207	24
670	207	24
671	207	24
672	208	23
673	208	23
674	208	23
675	209	22
676	209	22
677	209	22
678	209	21
679	210	21
680	210	21
681	210	21
682	211	20
683	211	20
684	211	20
685	212	19
686	212	19
687	212	19
688	212	18
689	213	18
690	213	18
691	213	17
692	214	17
693	214	17
694	214	16
695	215	16
696	215	16
697	215	16
698	216	15
699	216	15
700	216	15
701	216	14
702	217	14
703	217	14
704	217	13
705	218	13
706	218	13
707	218	12
708	219	12
709	219	12
710	219	12
711	219	11
712	220	11
713	220	11
714	220	10
715	221	10
716	221	10
717	221	9
718	222	9
719	222	9
720	222	8
721	223	8
722	223	8
723	223	8
724	224	7
725	224	7
726	224	7
727	224	6
728	225	6
729	225	6
730	225	5
731	226	5
732	226	5
733	226	4
734	227	4
735	227	4
736	227	4
737	228	3
738	228	3
739	228	3
740	229	2
741	229	2
742	229	2
743	230	1
744	230	1
745	230	1
746	231	0
747	231	0
748	231	0
749	232	0
